Data;open_x;high_x;low_x;close_x;volume_x;open_y;high_y;low_y;close_y;volume_y;;;;;
23/02/2021 14:40;5478.85;5479.35;5475.32;5478.85;921974400.00;114931.97;115022.42;114801.33;114926.95;3666364056.81;;;;;
23/02/2021 14:45;5478.85;5480.36;5474.82;5477.84;975085915.00;114921.92;115193.26;114881.72;115132.96;3570525587.38;;;;;
23/02/2021 14:50;5477.84;5483.38;5476.83;5478.34;1323383350.00;115132.96;115243.51;114992.27;115203.31;3880439501.96;;;;;
23/02/2021 14:55;5477.84;5487.91;5477.84;5484.89;1447386800.00;115198.29;115263.61;114942.02;115002.32;3590185429.67;;;;;
23/02/2021 15:00;5484.89;5486.91;5477.84;5480.36;1578229020.00;115002.32;115223.41;114942.02;115132.96;3311101770.61;;;;;
23/02/2021 15:05;5479.85;5482.37;5477.34;5479.35;891554440.00;115127.94;115298.78;115082.72;115283.71;3184133176.75;;;;;
23/02/2021 15:10;5478.85;5480.36;5475.32;5478.85;1163571935.00;115283.71;115459.57;115278.68;115389.23;4363188394.11;;;;;
23/02/2021 15:15;5478.85;5479.35;5469.28;5470.28;1801639690.00;115389.23;115519.87;115333.96;115484.70;3058805048.99;;;;;
23/02/2021 15:20;5470.79;5473.81;5464.24;5464.24;1719750310.00;115484.70;115620.37;115414.35;115555.05;4045207391.45;;;;;
23/02/2021 15:25;5464.74;5471.80;5461.72;5468.77;1758357275.00;115560.07;115806.29;115550.02;115756.04;5423726855.65;;;;;
23/02/2021 15:30;5468.27;5471.80;5466.76;5467.77;820838770.00;115751.01;115786.19;115615.34;115705.79;2692087056.40;;;;;
23/02/2021 15:35;5467.77;5470.28;5463.23;5466.25;1534205255.00;115705.79;115811.31;115625.39;115791.21;2683033900.34;;;;;
23/02/2021 15:40;5465.75;5475.32;5465.25;5472.80;1670413085.00;115791.21;115871.61;115600.27;115630.42;4254349870.34;;;;;
23/02/2021 15:45;5472.80;5477.34;5470.79;5474.82;1135841160.00;115625.39;115645.49;115354.05;115454.55;4602474896.61;;;;;
23/02/2021 15:50;5475.32;5477.84;5472.80;5477.84;1182968195.00;115454.55;115630.42;115404.30;115429.43;3850356193.63;;;;;
23/02/2021 15:55;5477.84;5486.40;5476.83;5485.40;2608748570.00;115434.45;115560.07;115374.15;115459.57;3332860741.05;;;;;
23/02/2021 16:00;5485.40;5490.43;5485.40;5488.92;1849968900.00;115454.55;115600.27;115409.33;115570.12;2720399376.07;;;;;
23/02/2021 16:05;5488.92;5489.93;5483.88;5486.40;1655950640.00;115570.12;115735.94;115504.80;115735.94;3094461199.44;;;;;
23/02/2021 16:10;5486.40;5490.43;5485.90;5489.93;839070985.00;115730.91;115771.11;115600.27;115630.42;3126453965.90;;;;;
23/02/2021 16:15;5489.93;5495.97;5488.42;5490.94;2120721370.00;115625.39;115720.86;115434.45;115539.97;4158738859.07;;;;;
23/02/2021 16:20;5490.94;5493.45;5489.43;5492.45;883317230.00;115539.97;115585.19;115374.15;115489.72;3322195148.90;;;;;
23/02/2021 16:25;5491.94;5500.00;5491.94;5493.45;2028778175.00;115489.72;115529.92;115354.05;115444.50;3196607737.05;;;;;
23/02/2021 16:30;5492.95;5497.99;5492.45;5496.98;670030170.00;115439.48;115494.75;115233.46;115253.56;3213321544.27;;;;;
23/02/2021 16:35;5496.98;5497.48;5492.95;5496.48;657934785.00;115253.56;115399.28;115168.14;115203.31;4423521786.09;;;;;
23/02/2021 16:40;5495.97;5499.00;5494.46;5495.97;1024954445.00;115198.29;115374.15;115183.21;115333.96;2834727364.77;;;;;
23/02/2021 16:45;5495.97;5498.49;5491.44;5492.45;1863903740.00;115333.96;115399.28;115198.29;115303.81;2941471268.24;;;;;
23/02/2021 16:50;5491.94;5492.45;5480.36;5481.87;2288028555.00;115298.78;115575.14;115278.68;115509.82;4419710944.13;;;;;
23/02/2021 16:55;5482.37;5486.91;5480.36;5485.40;1077159775.00;115514.85;115781.16;115459.57;115751.01;5299063981.92;;;;;
23/02/2021 17:00;5485.90;5485.90;5480.86;5483.38;692955065.00;115751.01;115791.21;115575.14;115675.64;3660002828.82;;;;;
23/02/2021 17:05;5483.38;5485.40;5478.34;5481.87;1375471100.00;115675.64;115756.04;115585.19;115695.74;2871538392.27;;;;;
23/02/2021 17:10;5481.87;5482.37;5478.34;5479.35;908859085.00;115695.74;115896.73;115685.69;115796.24;4129773963.72;;;;;
23/02/2021 17:15;5479.35;5480.86;5476.33;5479.35;897313515.00;115791.21;115881.66;115761.06;115861.56;1952855603.72;;;;;
